,0H,1H,2H,3H,4H,5H,6H,7H,8H,9H,10H,11H,12H,13H,14H,15H,16H,17H,18H,19H,20H,21H,22H,23H
01,,,,,,,,,,,,,,,,,,,,,,,,
02,,,,,,,,,,,,,,,,,,,,,,,,
03,,,,,,,,,,,,,,,,,,,,,,,,
04,,,,,,,,,,,,,,,,,,,,,,,,
05,,,,,,,,,,,,,,,,,,,,,,,,
06,,,,,,,,,,,,,,,,,,,,,,,,
07,,,,,,,,,,,,,,,,,,,,,,,,
08,,,,,,,,,,,,,,,,,,,,,,,,
09,,,,,,,,,,,,,,,,,,,,,,,,
10,,,,,,,,,,,,,,,,,,,,,,,,
11,,,,,,,,,,,,,,,,,,,,,,,,
12,,,,,,,,,,,,,,,,,,,,,,,,
13,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,
14,,,,,,,,,,,,,,,,,,,,,,,,
15,,,,,,,,,,,,,,,,,,,,,,,,
16,,,,,,,,,,,,,,,,,,,,,,,,
17,,,,,,,,,,,,,,,,,,,,,,,,
18,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,1.0,0.0,0.0
19,2.0,1.0,0.0,0.5,3.0,0.0,0.0,0.0,0.0,0.0,,,0.0,1.0,0.0,0.0,0.5,4.0,0.0,0.5,0.0,0.5,0.0,0.0
20,4.5,0.5,1.0,0.5,,,,,,,,,,,,,,,,,,,,
21,,,,,,,,,,,,,,,,,,,,,,,,
22,,,,,,,,,,,,,,,,,,,,,,,,
23,,,,,,,,,,,,,,,,,,,,,,,,
24,,,,,,,,,,,,,,,,,,,,,,,,
25,,,,,,,,,,,,,,,,,,,,,,,,
26,,,,,,,,,,,,,,,,,,,,,,,,
27,,,0.0,0.0,0.5,3.0,1.0,1.5,1.0,2.0,1.0,2.0,0.0,,,,,,,,,,,
28,,,,,,,,,,,,,,,,,,,,,,,,
29,,,,,,,,,,,,,,,,,,,,,,,,
30,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,
31,,,,,,,,,,,,,,,,,,,,,,,,
